,Corr,Mean Corr,Std Corr,Runtime
0.4,-0.0917,-0.15669999999999998,0.036640869713113165,37.03039503097534
0.45,0.1627,-0.07368333333333332,0.18682828494517514,36.784395933151245
0.5,0.1738,-0.02264999999999999,0.19601710597122216,39.26901936531067
0.55,0.3782,0.24926666666666666,0.3070716347839521,36.52458047866821
0.6,0.4692,0.3383333333333333,0.3711223502955446,37.33312940597534
0.6499999999999999,0.4646,0.41051666666666664,0.2564771361912966,37.68661022186279
0.7,0.4573,0.4041333333333334,0.21162435797631823,38.217650413513184
0.75,0.5406,0.5496166666666666,0.18218640103537426,36.92992448806763
0.7999999999999999,0.5107,0.6004,0.19621683583899382,37.42314863204956
0.8499999999999999,0.4677,0.5578833333333333,0.08541497559301622,37.13910698890686
0.8999999999999999,0.2377,0.26108333333333333,0.0696748739184762,37.292579650878906
