,Corr,Mean Corr,Std Corr,Runtime
0.2,0.639,0.6273,0.16594811438117235,256.5750117301941
0.25,0.6568,0.6371833333333333,0.1790113070606311,255.41318535804749
0.3,0.6285,0.61535,0.16926849234278657,260.6699285507202
0.35,0.6574,0.6122500000000001,0.192448839521919,254.02504658699036
0.39999999999999997,0.6467,0.6287666666666666,0.1646399674711122,265.0954339504242
0.44999999999999996,0.6201,0.6051666666666667,0.1929059154671578,272.6141130924225
0.49999999999999994,0.6827,0.6601499999999999,0.15032658613831418,271.6371262073517
0.5499999999999999,0.6185,0.5981833333333334,0.19407274767181734,282.58252024650574
0.5999999999999999,0.6532,0.6372333333333333,0.17188011972172798,293.31275606155396
0.6499999999999999,0.6647,0.63945,0.18328888627882853,286.20906925201416
0.7,0.6655,0.6423833333333333,0.20053197098938835,281.76213669776917
0.7499999999999999,0.6797,0.6714666666666665,0.1558893054560048,290.7748477458954
0.7999999999999998,0.6719,0.6474666666666667,0.17649987409501333,288.213650226593
0.8499999999999999,0.6754,0.6653666666666668,0.1657359513067565,289.5557689666748
0.8999999999999999,0.6665,0.6424166666666666,0.17566279644692998,290.8823034763336
0.9499999999999998,0.6719,0.6513833333333333,0.1983041470121647,295.4893524646759
0.9999999999999998,0.6612,0.6654,0.15381250490992815,306.045859336853
1.0499999999999998,0.6693,0.6527999999999999,0.2021857067153858,296.09973764419556
