,Corr,Mean Corr,Std Corr,Runtime
0.2,0.5521,0.6213166666666666,0.08888673348081189,217.91757583618164
0.25,0.5586,0.6322333333333333,0.12713346879908885,235.17561149597168
0.3,0.5594,0.6361333333333333,0.10010382388078666,232.01702499389648
0.35,0.5116,0.5877666666666667,0.09037001100414277,240.81188583374023
0.39999999999999997,0.5117,0.5699666666666666,0.04859899404537322,246.8134593963623
0.44999999999999996,0.5444,0.6087666666666667,0.06781134778847041,247.6016285419464
0.49999999999999994,0.5237,0.58905,0.06243019435070396,256.26925802230835
0.5499999999999999,0.5241,0.6161333333333333,0.10656082248598162,255.4480001926422
0.5999999999999999,0.5542,0.6376666666666667,0.08550385306457764,256.26620841026306
0.6499999999999999,0.4908,0.5538166666666667,0.08156262249884375,256.15471625328064
0.7,0.5538,0.6327499999999999,0.07989603139914606,267.2018473148346
0.7499999999999999,0.4938,0.5760000000000001,0.0845772428020682,269.1889925003052
0.7999999999999998,0.512,0.6055666666666667,0.09489245959974314,262.92110800743103
0.8499999999999999,0.5275,0.6063666666666666,0.05872270051313678,263.7543103694916
0.8999999999999999,0.5412,0.6325500000000001,0.08379442602782917,264.5605890750885
0.9499999999999998,0.5166,0.5688166666666666,0.12448598872519304,268.76849842071533
0.9999999999999998,0.5173,0.6075666666666667,0.1343420096453658,280.2341208457947
1.0499999999999998,0.5319,0.6161666666666666,0.0764792927675343,280.3262119293213
