,Corr,Mean Corr,Std Corr,Runtime
0.4,0.4785,0.5845000000000001,0.25393795173887135,45.82396912574768
0.45,0.4748,0.6054333333333334,0.24766919917951494,46.16853165626526
0.5,0.4652,0.6270833333333333,0.2510564107703464,46.64831233024597
0.55,0.4616,0.6571333333333333,0.27263372050345414,46.17842721939087
0.6,0.4894,0.6981666666666667,0.2216482849521336,45.4599494934082
0.6499999999999999,0.464,0.67565,0.21822864729452912,52.929054737091064
0.7,0.4582,0.6569,0.23315073093030036,67.88314843177795
0.75,0.4662,0.6578,0.19685443860883606,79.44273519515991
0.7999999999999999,0.4288,0.5910333333333334,0.15446662710400877,61.87233018875122
0.8499999999999999,0.4136,0.5562333333333334,0.20080171535345231,56.12479543685913
0.8999999999999999,0.2951,0.50375,0.24923370391395036,52.90740084648132
