,Corr,Mean Corr,Std Corr,Runtime
0.4,0.2059,-0.057449999999999994,0.2225386839031213,20.131458520889282
0.45,0.2995,-0.01943333333333333,0.30670957308539004,20.32118272781372
0.5,0.2995,-0.01943333333333333,0.30670957308539004,19.441739559173584
0.55,0.2807,-0.0020000000000000018,0.2921113543382614,18.50881576538086
0.6,0.4146,0.13653333333333334,0.3900229295253749,18.697535037994385
0.6499999999999999,0.449,0.2558833333333333,0.35656784962877525,18.86846160888672
0.7,0.3686,0.2970333333333333,0.2948457317913142,19.166688442230225
0.75,0.3788,0.3473833333333333,0.3191359136620147,21.515833139419556
0.7999999999999999,0.4437,0.5508833333333333,0.19308518341798148,18.105459451675415
0.8499999999999999,0.3644,0.42073333333333335,0.27001960216909354,20.356411695480347
0.8999999999999999,0.3155,0.40075,0.12872428869486907,20.708292245864868
